Company_name,Descrption,Sale Price (₹),Total Price (₹),Discount,Rating,Reviews & Ratings
SHEETAL ASSOCIATES,Women Shirt Brown Dress,399.0,999.0,60% off,3.8,494 ratings and 24 reviews
DEKLOOK,Women Bodycon Purple Dress,299.0,1599.0,81% off,4,"8,110 ratings and 454 reviews"
AMARASHA,Women Fit and Flare Blue Dress,699.0,2499.0,72% off,3.8,104 ratings and 17 reviews
RAIYANI ENTERPRISE,Women Fit and Flare Black Dress,389.0,1999.0,80% off,4,"5,494 ratings and 331 reviews"
SHEETAL ASSOCIATES,"Women Fit and Flare Yellow, White, Green Dress",439.0,1999.0,78% off,4.1,"26,651 ratings and 1,980 reviews"
KIMAYA,Women A-line Brown Dress,949.0,1999.0,52% off,,
METRO-FASHION,"Women Maxi Blue, Gold Dress",699.0,1899.0,63% off,4.1,397 ratings and 41 reviews
MISS AYSE,Women Fit and Flare Grey Dress,499.0,1999.0,75% off,4.1,"13,588 ratings and 956 reviews"
PRILLY,Women Drop Waist Blue Dress,399.0,899.0,55% off,,
FUNDAY FASHION,Women A-line Pink Dress,699.0,1499.0,53% off,,
KOTTY,Women Two Piece Dress Brown Dress,690.0,3999.0,82% off,3.9,953 ratings and 54 reviews
SHEETAL ASSOCIATES,"Women Fit and Flare Black, White Dress",419.0,1999.0,79% off,4.2,"8,227 ratings and 376 reviews"
ZWERLON,Women A-line Purple Dress,449.0,1999.0,77% off,4.1,"58,405 ratings and 3,963 reviews"
ATTIRE EMPIRE,"Women Bodycon Black, Brown, Pink Dress",399.0,1699.0,76% off,4.1,"5,803 ratings and 292 reviews"
FASHION2WEAR,"Women A-line Dark Blue, Light Blue Dress",475.0,999.0,52% off,3.8,"22,770 ratings and 1,210 reviews"
AMAYA CREATIVE CENTER,Women A-line Pink Dress,499.0,1999.0,75% off,3.9,"3,459 ratings and 222 reviews"
RAIYANI ENTERPRISE,Women Fit and Flare Maroon Dress,389.0,1999.0,80% off,4,"5,494 ratings and 331 reviews"
FLOVITTA,Women Gown Brown Dress,949.0,1499.0,36% off,,
HARPA,Women Bodycon Dark Green Dress,788.0,1999.0,60% off,4,157 ratings and 10 reviews
HARPA,Women Bodycon Multicolor Dress,919.0,2099.0,56% off,3,3 ratings and 0 reviews
HARPA,Women A-line Black Dress,749.0,1999.0,62% off,4,"5,144 ratings and 364 reviews"
HONKY TONKY,Women Fit and Flare Black Dress,474.0,1999.0,76% off,4.1,"8,044 ratings and 486 reviews"
AAYU,Women Fit and Flare Green Dress,699.0,1599.0,56% off,4.2,"12,799 ratings and 822 reviews"
SHEETAL ASSOCIATES,"Women Fit and Flare Black, White Dress",439.0,1999.0,78% off,4.1,"26,651 ratings and 1,980 reviews"
SANGRIA,"Women Maxi Dark Blue, Gold Dress",805.0,3499.0,76% off,,
RAJOVATI,Women Fit and Flare Red Dress,599.0,2499.0,76% off,4,105 ratings and 10 reviews
TANDUL,Women Bodycon Multicolor Dress,449.0,1499.0,70% off,,
KOTTY,Women Fit and Flare Multicolor Dress,690.0,1999.0,65% off,4,39 ratings and 2 reviews
SOFTANDSOOTHE,Women Bodycon Pink Dress,999.0,2099.0,52% off,,
SHEETAL ASSOCIATES,Women Bodycon Black Dress,439.0,1999.0,78% off,4.2,"18,837 ratings and 1,597 reviews"
FASHION2WEAR,"Women A-line Grey, Black Dress",475.0,999.0,52% off,3.8,"22,770 ratings and 1,210 reviews"
PURSHOTTAM WALA,Women Fit and Flare Blue Dress,429.0,2099.0,79% off,4.1,"38,581 ratings and 2,719 reviews"
RAIYANI ENTERPRISE,Women Fit and Flare Purple Dress,389.0,1999.0,80% off,4,"5,494 ratings and 331 reviews"
SHEETAL ASSOCIATES,Women Fit and Flare Multicolor Dress,489.0,1999.0,75% off,4.2,490 ratings and 20 reviews
HONKY TONKY,Women Maxi Pink Dress,499.0,1349.0,63% off,4,22 ratings and 2 reviews
AAYU,"Women A-line White, Light Blue, Grey Dress",699.0,2599.0,73% off,4.1,"3,863 ratings and 185 reviews"
TIARA WORLD,Women A-line Blue Dress,460.0,1999.0,76% off,3.9,"2,208 ratings and 106 reviews"
SKY FAB,"Women Maxi Maroon, Dark Blue, White Dress",699.0,1999.0,65% off,3.9,"1,541 ratings and 84 reviews"
OOTD BY KOTTY,Women Fit and Flare Multicolor Dress,490.0,1999.0,75% off,4,11 ratings and 0 reviews
JOVO,Women Bodycon Multicolor Dress,500.0,1500.0,66% off,,
SHEETAL ASSOCIATES,Women A-line Black Dress,399.0,1999.0,80% off,4.1,"1,147 ratings and 74 reviews"
HARPA,Women A-line Orange Dress,599.0,2199.0,72% off,3.5,154 ratings and 18 reviews
KESHAV SRUSHTI,Women A-line Blue Dress,771.0,1640.0,52% off,4.2,165 ratings and 11 reviews
HOUSEOFCOMMON,Women A-line Multicolor Dress,662.0,999.0,33% off,,
SHEETAL ASSOCIATES,Women Bodycon Black Dress,439.0,1999.0,78% off,4.3,"9,188 ratings and 779 reviews"
HARPA,Women Maxi Black Dress,599.0,1499.0,60% off,3.8,520 ratings and 99 reviews
PURVAJA,Women A-line Light Blue Dress,999.0,3299.0,69% off,4.6,10 ratings and 7 reviews
ZWERLON,Women A-line Gold Dress,449.0,1999.0,77% off,4.1,"58,405 ratings and 3,963 reviews"
TWIRL TALES,Women A-line Brown Dress,498.0,2499.0,80% off,4.1,"5,837 ratings and 476 reviews"
J TURRITOPSIS,Women Fit and Flare Multicolor Dress,489.0,1199.0,59% off,4.2,"12,662 ratings and 1,013 reviews"
AVNI,"Women Gown Yellow, White Dress",450.0,999.0,54% off,,
OOMPH!,Women Fit and Flare Pink Dress,499.0,1660.0,69% off,4.2,388 ratings and 108 reviews
DEKLOOK,"Women Fit and Flare Black, Beige Dress",349.0,1999.0,82% off,3.9,"1,093 ratings and 53 reviews"
KOTTY,Women Two Piece Dress Multicolor Dress,690.0,3999.0,82% off,3.9,7 ratings and 0 reviews
FASHFUN,Women Fit and Flare Multicolor Dress,499.0,1999.0,75% off,4.1,7 ratings and 4 reviews
SHEETAL ASSOCIATES,Women Bodycon Black Dress,319.0,1999.0,84% off,4.1,"6,980 ratings and 431 reviews"
HARPA,Women Maxi Dark Blue Dress,749.0,1899.0,60% off,4.3,"6,884 ratings and 1,001 reviews"
HANDSOME KING,Women Gown Multicolor Dress,495.0,999.0,50% off,4,"1,738 ratings and 73 reviews"
VAARARO,Women Bodycon Multicolor Dress,723.0,1899.0,61% off,4.3,"11,368 ratings and 924 reviews"
FASHION2WEAR,"Women Fit and Flare Grey, Black Dress",475.0,2499.0,80% off,3.8,"13,074 ratings and 660 reviews"
UPTOWNIE LITE,Women Maxi Green Dress,690.0,2499.0,72% off,4.1,"5,048 ratings and 469 reviews"
GUJARI,Women Ethnic Dress Multicolor Dress,449.0,1499.0,70% off,3.7,"5,757 ratings and 278 reviews"
SELVIA,Women A-line Purple Dress,759.0,2530.0,70% off,3.9,477 ratings and 13 reviews
HONKY TONKY,Women Fit and Flare Multicolor Dress,456.0,1999.0,77% off,4.1,"4,860 ratings and 338 reviews"
PRESHA,Women Fit and Flare Maroon Dress,474.0,2499.0,81% off,4.1,"1,073 ratings and 71 reviews"
OMPAX,Women A-line Green Dress,799.0,2399.0,66% off,,
TOKYO TALKIES,Women Empire Waist Multicolor Dress,763.0,2199.0,65% off,4,954 ratings and 72 reviews
UPTOWNIE LITE,Women Maxi Red Dress,690.0,2499.0,72% off,4.1,"5,048 ratings and 469 reviews"
HARPA,Women A-line Multicolor Dress,589.0,2499.0,76% off,3.3,11 ratings and 1 reviews
HARPA,Women A-line Pink Dress,769.0,2499.0,69% off,3.9,232 ratings and 32 reviews
TOKYO TALKIES,Women Bodycon Black Dress,484.0,949.0,48% off,4.1,565 ratings and 19 reviews
TOKYO TALKIES,"Women Skater Black, White Dress",619.0,1599.0,61% off,4.3,"1,266 ratings and 162 reviews"
AAYU,Women Fit and Flare Maroon Dress,699.0,1599.0,56% off,4.2,"12,799 ratings and 822 reviews"
AARVIA,"Women A-line Pink, Red Dress",499.0,4999.0,90% off,3.8,419 ratings and 17 reviews
HARPA,Women A-line Pink Dress,919.0,2699.0,65% off,4.1,950 ratings and 66 reviews
HARPA,Women Bodycon Maroon Dress,749.0,1999.0,62% off,4.1,"3,828 ratings and 280 reviews"
HARPA,Women Fit and Flare Red Dress,589.0,1599.0,63% off,3.1,7 ratings and 0 reviews
HARPA,"Women Shift Black, Beige Dress",589.0,1499.0,60% off,3.8,163 ratings and 20 reviews
GORISSA,Women Fit and Flare White Dress,449.0,1999.0,77% off,,
TOKYO TALKIES,Women Ribbed Yellow Dress,470.0,1049.0,55% off,4.1,"1,479 ratings and 113 reviews"
DRESSAR,Women Fit and Flare Multicolor Dress,429.0,1999.0,78% off,4,"5,008 ratings and 277 reviews"
ONE SKY,Women Wrap Yellow Dress,1749.0,2499.0,30% off,,
SHEETAL ASSOCIATES,Women Fit and Flare Black Dress,439.0,1999.0,78% off,4,"2,637 ratings and 136 reviews"
KOTTY,"Women Fit and Flare Dark Blue, White Dress",490.0,1999.0,75% off,4.1,10 ratings and 0 reviews
TRY ME,Women Gown Black Dress,699.0,1999.0,65% off,,
HARPA,"Women A-line Green, Pink, Yellow Dress",599.0,2099.0,71% off,3.5,4 ratings and 1 reviews
LONDON BELLY,Women Bodycon Black Dress,425.0,1299.0,67% off,4,"3,514 ratings and 198 reviews"
HARPA,"Women A-line Maroon, Beige Dress",599.0,2499.0,76% off,3.8,21 ratings and 1 reviews
HONKY TONKY,Women Fit and Flare Blue Dress,449.0,1999.0,77% off,4,"3,449 ratings and 213 reviews"
KOTTY,Women Two Piece Dress Black Dress,999.0,3999.0,75% off,2.7,3 ratings and 1 reviews
AAYU,Women Fit and Flare Pink Dress,699.0,1999.0,65% off,4,"14,249 ratings and 829 reviews"
AASK,Women Fit and Flare Purple Dress,629.0,1999.0,68% off,3.3,12 ratings and 0 reviews
ZWERLON,Women A-line Black Dress,449.0,1999.0,77% off,4.1,"58,405 ratings and 3,963 reviews"
KG FASHION,Women Fit and Flare White Dress,699.0,999.0,30% off,,
HONKY TONKY,"Women Fit and Flare Green, White, Yellow Dress",474.0,1999.0,76% off,4.1,"1,214 ratings and 57 reviews"
TANDUL,Women Two Piece Dress Multicolor Dress,489.0,1499.0,67% off,,
HARPA,Women Sheath Green Dress,802.0,1999.0,59% off,4.3,441 ratings and 34 reviews
MISS AYSE,Women Fit and Flare Grey Dress,499.0,1999.0,75% off,4.1,"13,588 ratings and 956 reviews"
ZWERLON,Women A-line Multicolor Dress,449.0,1999.0,77% off,4.1,"58,405 ratings and 3,963 reviews"
HARPA,Women Maxi Multicolor Dress,609.0,1499.0,59% off,3.8,"2,396 ratings and 320 reviews"
